Stno,Chip,Database Id,Surname,First name,YB,S,Block,nc,Start,Finish,Time,Classifier,Club no.,Cl.name,City,Nat,Cl. no.,Short,Long,Num1,Num2,Num3,Text1,Text2,Text3,Adr. name,Street,Line2,Zip,City,Phone,Fax,EMail,Id/Club,Rented,Start fee,Paid,Course no.,Course,km,m,Course controls,Pl,Start punch,Finish punch,Control1,Punch1,Control2,Punch2,Control3,Punch3,Control4,Punch4,Control5,Punch5,Control6,Punch6,Control7,Punch7,Control8,Punch8,Control9,Punch9,Control10,Punch10,(may be more) ...,,,,,,,,,,,,,
,8080678,157,Legac,Lino,,M,,0,10:00,44:49,34:49,0,7,JAP,OK Japetic,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,2,,44:49,32,01:46,42,04:18,36,08:02,38,09:16,46,13:11,48,14:59,49,15:44,50,16:47,47,18:57,51,21:16,53,23:11,54,26:28,44,28:51,59,30:24,56,32:20,57,32:58,100,34:25
,893831,188,Varnica,Tomislav,,M,,0,26:00,66:36,40:36,0,4,VIH,OK Vihor,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,3,,66:36,32,02:47,42,05:48,36,10:51,38,12:18,46,16:27,48,18:23,49,19:09,50,20:17,47,22:15,51,24:47,53,27:20,54,31:28,44,34:05,59,35:27,56,37:52,57,38:35,100,40:11
,9102186,126,Kaldi,Vedran,,M,,0,16:00,59:07,43:07,0,2,KAP,OK Kapela,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,4,,59:07,32,01:56,42,04:34,36,10:33,38,11:52,46,16:21,48,19:22,49,20:10,50,23:06,47,25:06,51,27:51,53,30:01,54,34:27,44,36:50,59,38:28,56,40:50,57,41:28,100,42:47
,7210949,124,Gadžić,Dražen,,M,,0,22:00,67:42,45:42,0,2,KAP,OK Kapela,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,5,,67:42,32,01:39,42,03:58,36,12:03,38,13:19,46,16:56,48,18:48,49,19:50,50,21:49,47,23:47,51,26:26,53,34:59,54,38:10,44,40:13,59,41:38,56,43:37,57,44:07,100,45:22
,300745,103,Čapeta,Davor,,M,,0,12:00,58:24,46:24,0,2,KAP,OK Kapela,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,6,,58:24,32,02:28,42,04:56,36,08:09,38,12:44,46,16:39,48,18:48,49,19:34,50,21:56,47,25:21,51,28:05,53,30:38,54,36:05,44,38:47,59,40:10,56,43:54,57,44:35,100,46:00
,7207151,99,Filetin,Luka,,M,,0,30:00,78:16,48:16,0,2,KAP,OK Kapela,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,7,,78:16,32,02:19,42,05:12,36,09:43,38,11:23,46,14:58,48,19:31,49,20:16,50,21:44,47,24:17,51,30:15,53,32:16,54,36:07,44,40:29,59,42:02,56,44:49,57,45:26,100,47:58
,7622357,15,Šeperić-Grdiša,Ivan,,M,,0,08:00,67:52,59:52,0,3,JEL,OK Jelen,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,8,,67:52,32,03:29,42,07:09,36,14:42,38,16:55,46,24:08,48,26:56,49,28:23,50,30:52,47,34:02,51,38:04,53,41:14,54,46:39,44,50:55,59,52:57,56,55:56,57,56:56,100,59:21
,222419,90,Kralj,Miroslav,,M,,0,20:00,86:03,66:03,0,4,VIH,OK Vihor,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,9,,86:03,32,06:11,42,08:52,36,14:11,38,15:40,46,21:11,48,24:54,49,25:50,50,28:05,47,30:58,51,34:17,53,37:27,54,50:41,44,57:47,59,59:41,56,62:36,57,63:41,100,65:34
,,237,,Vacant,,M,,0,28:00,,,0,,,,,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,238,,Vacant,,M,,0,06:00,,,0,,,,,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,174,Atkinson,Kelly,,M,,0,14:00,,,1,6,troop8787,troop8787,USA,1,M21A,M21A,,,,,,,,,,,,,,,,X,0,0,6,M21A,4.4,135,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7910421,59,Horvat,Lobel,,M,,0,24:00,,,1,1,MAK,OK Maksimir,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500739,136,Jelić,Ivor,,M,,0,07:00,33:36,26:36,0,2,KAP,OK Kapela,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,1,,33:36,61,03:10,35,04:58,37,08:53,43,09:46,39,12:28,44,16:38,55,19:10,54,19:45,59,23:00,62,25:18,100,26:15,,,,,,,,,,,,
,2116256,187,Košćica,Miran,,M,,0,31:00,58:58,27:58,0,3,JEL,OK Jelen,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,2,,58:58,61,02:46,35,04:13,37,11:22,43,12:03,39,14:45,44,19:05,55,21:18,54,21:59,59,25:22,62,26:45,100,27:37,,,,,,,,,,,,
,232271,17,Đipalo,Bože,,M,,0,03:00,37:15,34:15,0,10,BJE,OK Bjelovar,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,3,,37:15,61,03:56,35,07:48,37,11:45,43,12:35,39,18:05,44,21:58,55,25:25,54,25:56,59,29:51,62,32:35,100,33:51,,,,,,,,,,,,
,1426067,153,Mesić,Matija,,M,,0,17:00,51:34,34:34,0,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,4,,51:34,61,03:21,35,08:29,37,14:54,43,15:48,39,18:27,44,21:57,55,24:54,54,25:34,59,31:32,62,33:23,100,34:14,,,,,,,,,,,,
,222409,50,Celić,Oleg,,M,,0,13:00,49:47,36:47,0,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,5,,49:47,61,03:18,35,05:08,37,09:10,43,10:16,39,13:07,44,17:44,55,21:55,54,22:43,59,33:29,62,35:24,100,36:25,,,,,,,,,,,,
,222404,42,Kučinac,Matija,,M,,0,09:00,48:08,39:08,0,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,6,,48:08,61,03:18,35,07:53,37,12:35,43,14:00,39,17:14,44,22:45,55,26:42,54,27:51,59,34:38,62,37:03,100,38:45,,,,,,,,,,,,
,219397,37,Novosel,Domagoj,,M,,0,19:00,59:13,40:13,0,3,JEL,OK Jelen,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,7,,59:13,61,06:05,35,10:51,37,23:32,43,24:07,39,26:50,44,31:09,55,33:27,54,34:09,59,37:29,62,38:52,100,39:42,,,,,,,,,,,,
,406861,180,Dervišević,Dražen,,M,,0,25:00,68:27,43:27,0,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,8,,68:27,61,05:12,35,09:07,37,18:36,43,19:27,39,23:11,44,28:48,55,32:22,54,34:31,59,38:53,62,41:39,100,43:02,,,,,,,,,,,,
,222408,49,Jokić,Nikica,,M,,0,33:00,78:22,45:22,0,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,9,,78:22,61,04:01,35,06:00,37,13:35,43,14:39,39,24:40,44,29:27,55,35:59,54,37:03,59,40:35,62,43:54,100,44:57,,,,,,,,,,,,
,337656,60,Putniković,Branimir,,M,,0,11:00,59:39,48:39,0,2,KAP,OK Kapela,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,10,,59:39,61,05:29,35,09:05,37,18:46,43,20:14,39,24:23,44,31:25,55,34:57,54,35:59,59,45:45,62,47:23,100,48:16,,,,,,,,,,,,
,222415,56,Kolarek,Noa,,M,,0,21:00,80:44,59:44,0,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,11,,80:44,61,11:02,35,15:09,37,25:42,43,27:20,39,36:30,44,41:30,55,44:11,54,45:47,59,55:31,62,58:10,100,59:19,,,,,,,,,,,,
,232272,242,Iličić,Goran,,M,,0,15:00,80:50,65:50,0,,,,,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,12,,80:50,61,04:44,35,15:20,37,41:23,43,42:55,39,46:33,44,50:42,55,54:34,54,55:50,59,61:14,62,64:04,100,65:26,,,,,,,,,,,,
,410618,61,Vidaković,Zvonko,,M,,0,27:00,98:16,71:16,0,2,KAP,OK Kapela,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,13,,98:16,61,07:16,35,11:52,37,19:38,43,21:33,39,34:23,44,46:50,55,52:36,54,54:25,59,63:10,62,67:55,100,70:16,,,,,,,,,,,,
,222402,35,Filek,Karlo,,M,,0,29:00,146:16,117:16,0,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,14,,146:16,61,10:10,35,16:10,37,57:14,43,59:19,39,64:47,44,71:31,55,91:16,54,93:08,59,100:47,62,115:10,100,116:44,,,,,,,,,,,,
,222401,241,Kodba,Tin,,M,,0,05:00,,,1,4,VIH,OK Vihor,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7300541,70,Delimar,Domagoj,,M,,0,23:00,,,1,2,KAP,OK Kapela,CRO,3,M21B,M21B,,,,,,,,,,,,,,,,0,0,0,5,M21B,2.5,70,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7820618,121,Delić,Petar,,M,,0,64:00,93:23,29:23,0,1,MAK,OK Maksimir,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,1,,93:23,33,03:20,42,04:04,35,05:27,38,09:11,45,11:56,48,14:28,49,15:14,50,16:33,52,22:05,54,24:02,56,27:15,57,27:48,100,29:00,,,,,,,,
,2087742,148,Vodopija,Goran,,M,,0,84:00,114:54,30:54,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,2,,114:54,33,03:33,42,04:23,35,06:00,38,12:23,45,15:24,48,18:03,49,18:49,50,20:01,52,24:35,54,26:43,56,28:50,57,29:26,100,30:36,,,,,,,,
,7001122,73,Kaniški,Tomislav,,M,,0,76:00,107:05,31:05,0,1,MAK,OK Maksimir,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,3,,107:05,33,03:28,42,04:21,35,05:41,38,09:49,45,13:03,48,15:57,49,16:46,50,17:55,52,22:58,54,25:25,56,28:26,57,29:02,100,30:35,,,,,,,,
,8250869,96,Orehoci,Robert,,M,,0,80:00,111:57,31:57,0,10,BJE,OK Bjelovar,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,4,,111:57,33,03:23,42,04:15,35,06:12,38,11:31,45,15:06,48,18:06,49,18:55,50,20:05,52,24:53,54,27:04,56,29:36,57,30:12,100,31:32,,,,,,,,
,8020899,170,Ocvirk,Edi,,M,,0,72:00,104:17,32:17,0,7,JAP,OK Japetic,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,5,,104:17,33,03:10,42,04:01,35,05:41,38,12:06,45,15:47,48,18:16,49,18:59,50,20:18,52,25:01,54,27:20,56,30:05,57,30:38,100,31:53,,,,,,,,
,7212325,131,Spasić,Vladimir,,M,,0,58:00,94:23,36:23,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,6,,94:23,33,04:14,42,05:09,35,07:55,38,12:41,45,16:06,48,20:33,49,21:20,50,22:41,52,28:53,54,31:15,56,33:54,57,34:37,100,35:59,,,,,,,,
,7207153,76,Suhina,Vanja,,M,,0,82:00,119:00,37:00,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,7,,119:00,33,03:56,42,04:50,35,07:19,38,11:41,45,16:05,48,20:21,49,21:10,50,22:21,52,28:14,54,30:48,56,34:20,57,35:13,100,36:41,,,,,,,,
,7211185,185,Bublić,Ivan,,M,,0,78:00,116:20,38:20,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,8,,116:20,33,05:16,42,06:23,35,08:17,38,13:33,45,16:53,48,19:59,49,20:50,50,22:03,52,27:50,54,31:12,56,34:59,57,35:34,100,36:45,,,,,,,,
,2088246,113,Meštrović,Tomislav,,M,,0,66:00,104:53,38:53,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,9,,104:53,33,04:44,42,05:43,35,07:53,38,12:34,45,16:18,48,20:09,49,21:13,50,22:53,52,30:05,54,33:09,56,36:11,57,36:49,100,38:27,,,,,,,,
,8160756,145,"Riet, van de",Gerrit,,M,,0,60:00,98:56,38:56,0,1,MAK,OK Maksimir,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,10,,98:56,33,04:15,42,05:13,35,07:29,38,12:33,45,16:15,48,18:58,49,19:50,50,21:12,52,27:39,54,32:12,56,36:00,57,36:48,100,38:27,,,,,,,,
,7207785,102,Gverić,Ivan,,M,,0,86:00,126:37,40:37,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,11,,126:37,33,04:27,42,05:27,35,07:41,38,12:38,45,16:37,48,20:15,49,22:38,50,24:36,52,32:02,54,34:50,56,37:41,57,38:25,100,40:07,,,,,,,,
,7211121,81,Stankovski,Dalibor,,M,,0,70:00,111:35,41:35,0,3,JEL,OK Jelen,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,12,,111:35,33,04:10,42,05:19,35,07:48,38,12:26,45,17:55,48,20:49,49,21:39,50,23:38,52,30:38,54,33:57,56,38:07,57,39:08,100,41:11,,,,,,,,
,7112111,58,Novosel,Zdravko,,M,,0,62:00,104:58,42:58,0,3,JEL,OK Jelen,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,13,,104:58,33,05:25,42,06:10,35,07:46,38,13:17,45,17:50,48,22:14,49,23:17,50,24:57,52,32:47,54,36:17,56,39:59,57,40:43,100,42:29,,,,,,,,
,893853,150,Surjan,Darko,,M,,0,92:00,137:14,45:14,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,14,,137:14,33,04:46,42,05:48,35,08:34,38,13:24,45,18:52,48,24:04,49,25:20,50,27:15,52,35:18,54,38:36,56,42:02,57,42:57,100,44:53,,,,,,,,
,7112115,64,Fabijanić,Daniel,,M,,0,68:00,113:18,45:18,0,3,JEL,OK Jelen,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,15,,113:18,33,04:12,42,05:08,35,07:59,38,13:05,45,19:57,48,23:55,49,25:18,50,26:43,52,34:20,54,37:41,56,42:02,57,42:51,100,44:44,,,,,,,,
,2126436,68,Rihter,Goran,,M,,0,74:00,120:46,46:46,0,2,KAP,OK Kapela,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,16,,120:46,33,04:27,42,05:47,35,07:59,38,16:57,45,21:53,48,26:00,49,27:06,50,29:11,52,36:43,54,39:45,56,43:26,57,44:19,100,46:23,,,,,,,,
,1420752,18,Šantić,Domagoj,,M,,0,94:00,155:34,61:34,3,10,BJE,OK Bjelovar,CRO,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,,,155:34,33,05:14,42,06:34,35,12:24,38,27:48,,,48,38:10,49,39:15,50,41:27,52,49:28,54,53:10,56,57:22,57,58:13,100,60:55,,,,,,,,
,,253,,Vacant,,M,,0,90:00,,,0,,,,,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,254,,Vacant,,M,,0,88:00,,,0,,,,,9,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3.7,90,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,585858,28,Gobec,Damir,,M,,0,27:00,49:37,22:37,0,4,VIH,OK Vihor,CRO,7,M45,M45,,,,,,,,,,,,,,,,0,0,0,8,M45,2.7,85,11,1,,49:37,34,02:04,33,03:21,35,05:08,36,07:51,43,09:14,38,09:57,39,11:46,54,15:17,59,17:55,57,20:49,100,22:17,,,,,,,,,,,,
,219399,156,Miljković,Damir,,M,,0,07:00,33:40,26:40,0,3,JEL,OK Jelen,CRO,7,M45,M45,,,,,,,,,,,,,,,,0,0,0,8,M45,2.7,85,11,2,,33:40,34,03:08,33,04:24,35,05:58,36,10:26,43,11:52,38,12:40,39,14:44,54,18:38,59,21:37,57,24:50,100,26:20,,,,,,,,,,,,
